Verwaltungskreis,Träger,Bildungsstufe,Schueler
Verwaltungskreis Seeland,Öffentliche Schule,Sekundarstufe I,98
Verwaltungskreis Seeland,Öffentliche Schule,Sekundarstufe I,120
Verwaltungskreis Seeland,Öffentliche Schule,Sekundarstufe I,16
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Sekundarstufe I,17
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Sekundarstufe I,22
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,31
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,25
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Sekundarstufe I,66
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Sekundarstufe I,79
Verwaltungskreis Thun,Öffentliche Schule,Sekundarstufe I,32
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,77
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,46
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,17
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,23
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,51
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,37
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Sekundarstufe I,45
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Sekundarstufe I,55
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Sekundarstufe I,20
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,31
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,21
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Sekundarstufe I,12
Verwaltungskreis Thun,Öffentliche Schule,Sekundarstufe I,35
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,21
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,19
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,105
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,79
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,6
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,32
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Sekundarstufe I,10
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Sekundarstufe I,15
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,52
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,86
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,13
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,78
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,45
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,4
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,114
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,115
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,1
Verwaltungskreis Thun,Öffentliche Schule,Sekundarstufe I,15
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,56
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Sekundarstufe I,1
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,21
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Sekundarstufe I,29
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Sekundarstufe I,75
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Sekundarstufe I,6
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,41
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,13
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,16
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,19
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,1
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,21
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,26
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,5
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,56
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,44
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,73
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,4
Verwaltungskreis Thun,Öffentliche Schule,Sekundarstufe I,7
Verwaltungskreis Thun,Öffentliche Schule,Sekundarstufe I,26
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Sekundarstufe I,3
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,19
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,25
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,57
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,55
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,14
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,20
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Sekundarstufe I,12
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,8
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,41
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,21
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,18
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,1
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Sekundarstufe I,17
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,66
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,175
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,7
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,5
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,70
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,7
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,18
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Sekundarstufe I,1
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Sekundarstufe I,224
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,4
Verwaltungskreis Thun,Öffentliche Schule,Sekundarstufe I,11
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,12
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,52
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,157
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,5
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,61
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,76
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,4
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,25
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,28
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,46
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,121
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,40
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Sekundarstufe I,49
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Sekundarstufe I,40
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,16
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,57
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,152
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,7
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,13
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,42
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Sekundarstufe I,35
Verwaltungskreis Seeland,Öffentliche Schule,Sekundarstufe I,11
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,71
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,144
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,11
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Sekundarstufe I,20
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Sekundarstufe I,25
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,146
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,1
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,8
Arrondissement administratif Jura bernois,Öffentliche Schule,Sekundarstufe I,3
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,4
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Sekundarstufe I,8
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Sekundarstufe I,22
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,44
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,78
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,37
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,36
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,5
Verwaltungskreis Thun,Öffentliche Schule,Sekundarstufe I,4
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Sekundarstufe I,10
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,16
Verwaltungskreis Seeland,Öffentliche Schule,Sekundarstufe I,15
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,61
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,85
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Sekundarstufe I,14
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Sekundarstufe I,53
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Sekundarstufe I,55
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,106
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,87
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,4
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,50
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,58
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,57
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,94
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,300
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Sekundarstufe I,145
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Sekundarstufe I,262
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Sekundarstufe I,7
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,53
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,133
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,67
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,107
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Sekundarstufe I,135
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,58
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,57
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,40
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,36
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Sekundarstufe I,25
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Sekundarstufe I,65
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,72
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,165
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,26
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,81
Verwaltungskreis Seeland,Öffentliche Schule,Sekundarstufe I,88
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Sekundarstufe I,80
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,122
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,201
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,169
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,76
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,103
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,126
Verwaltungskreis Thun,Öffentliche Schule,Sekundarstufe I,92
Verwaltungskreis Thun,Öffentliche Schule,Sekundarstufe I,128
Verwaltungskreis Thun,Öffentliche Schule,Sekundarstufe I,3
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,58
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,54
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,58
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Sekundarstufe I,30
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Sekundarstufe I,45
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Sekundarstufe I,52
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Sekundarstufe I,70
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Sekundarstufe I,55
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Sekundarstufe I,136
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Sekundarstufe I,62
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Sekundarstufe I,136
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,1
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,120
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,63
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,89
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,6
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Sekundarstufe I,63
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Sekundarstufe I,34
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,57
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,124
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,97
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,116
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Sekundarstufe I,4
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,85
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,68
Verwaltungskreis Emmental,Öffentliche Schule,Sekundarstufe I,16
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Sekundarstufe I,27
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Sekundarstufe I,40
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,32
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,20
Verwaltungskreis Oberaargau,Öffentliche Schule,Sekundarstufe I,23
Verwaltungskreis Thun,Öffentliche Schule,Sekundarstufe I,38
Verwaltungskreis Thun,Öffentliche Schule,Sekundarstufe I,69
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,28
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,36
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,86
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,16
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,17
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,39
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,62
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,16
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,25
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,14
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,20
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,43
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,53
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,24
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,17
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,46
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,75
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,12
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,103
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,86
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,86
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,3
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,20
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,37
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,11
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,21
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,104
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,39
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,78
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,90
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,9
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,94
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,79
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,283
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,9
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,221
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,8
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,83
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,124
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,17
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,17
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,323
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,36
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,60
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,109
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,35
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,24
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,33
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,41
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,18
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,222
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,10
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,154
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,11
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,182
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,191
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,88
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,13
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,80
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,14
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,5
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,20
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,66
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,17
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,35
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,147
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,58
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,18
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,119
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,7
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,16
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,12
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,244
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,442
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,26
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,13
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,13
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,12
Arrondissement administratif Jura bernois,Öffentliche Schule,Primarstufe,3
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,96
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,14
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,10
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Primarstufe,2
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Primarstufe,4
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,44
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,13
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,50
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,19
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,82
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,22
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,48
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,57
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,27
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,48
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,40
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,10
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,117
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,37
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,29
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,92
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,11
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,43
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,37
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,101
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,42
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,26
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,60
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,80
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,54
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,41
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,60
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,6
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,108
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,76
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,61
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,38
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,99
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,63
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,27
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,69
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,58
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,39
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,48
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,203
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,21
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,40
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,33
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,78
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,67
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,99
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,75
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,142
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,44
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,146
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,7
Verwaltungskreis Biel/Bienne,Öffentliche Schule,Primarstufe,81
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,184
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,68
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,132
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,11
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,119
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,108
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,12
Verwaltungskreis Oberaargau,Öffentliche Schule,Primarstufe,111
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,23
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,162
Verwaltungskreis Emmental,Öffentliche Schule,Primarstufe,30
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,97
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,63
Verwaltungskreis Interlaken-Oberhasli,Öffentliche Schule,Primarstufe,144
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,48
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,9
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,27
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,43
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,49
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,19
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,52
Verwaltungskreis Thun,Öffentliche Schule,Primarstufe,70
Verwaltungskreis Bern-Mittelland,Öffentliche Schule,Primarstufe,122
Verwaltungskreis Frutigen-Niedersimmental,Öffentliche Schule,Primarstufe,36
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,36
Verwaltungskreis Seeland,Öffentliche Schule,Primarstufe,32
Verwaltungskreis Obersimmental-Saanen,Öffentliche Schule,Primarstufe,41
